_id,lon,lat,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
65bfd5a9bcc164827e08388b,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd5a9bcc164827e083889,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707067321
65bfd5a9bcc164827e08388a,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd5a9bcc164827e08388c,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707068581
65bfd5a9bcc164827e08388f,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd5a9bcc164827e083890,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707067321
65bfd5a9bcc164827e083891,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066002
65bfd5a9bcc164827e083894,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707064501
65bfd5a9bcc164827e083892,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707070502
65bfd5a9bcc164827e083893,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069242
65bfd5a9bcc164827e08388e,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd5a9bcc164827e083895,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069242
65bfd5a9bcc164827e083896,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd5a9bcc164827e083897,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd5a9bcc164827e083898,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707070502
65bfd5a9bcc164827e083899,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd5a9bcc164827e08389a,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
